ID,Destination,Departure,Type,Price,Available,Passport
1,Seattle,24/12/2025 05:00,Compartment,125.5,Yes,NNN00000000
2,Seattle,25/12/2025 08:00,Sleeper,160,Yes,NNN00000000
3,Seattle,31/12/2025 05:00,Economy,75,Yes,NNN00000000
4,Seattle,14/01/2026 11:00,Deluxe,249.99,Yes,NNN00000000
5,Seattle,21/01/2026 16:00,Economy,75,Yes,NNN00000000
6,Rio de Janeiro,25/12/2025 11:00,Deluxe,249.99,Yes,NNN00000000
7,Rio de Janeiro,31/12/2025 05:00,Sleeper,160,Yes,NNN00000000
8,Rio de Janeiro,14/01/2026 16:00,Economy,75,Yes,NNN00000000
9,Rio de Janeiro,21/01/2026 08:00,Compartment,125.5,Yes,NNN00000000
10,Rio de Janeiro,21/01/2026 21:00,Economy,75,Yes,NNN00000000
11,Tallinn,25/12/2025 21:00,Compartment,125.5,Yes,NNN00000000
12,Tallinn,25/12/2025 08:00,Sleeper,160,Yes,NNN00000000
13,Tallinn,31/12/2025 11:00,Economy,75,Yes,NNN00000000
14,Tallinn,14/01/2026 16:00,Deluxe,249.99,Yes,NNN00000000
15,Tallinn,21/01/2026 05:00,Economy,75,Yes,NNN00000000
16,Jinjiang,31/12/2025 08:00,Sleeper,160,Yes,NNN00000000
17,Jinjiang,31/12/2025 16:00,Deluxe,249.99,Yes,NNN00000000
18,Jinjiang,14/01/2026 11:00,Economy,75,Yes,NNN00000000
19,Jinjiang,14/01/2026 05:00,Compartment,125.5,Yes,NNN00000000
20,Jinjiang,21/01/2026 21:00,Economy,75,Yes,NNN00000000
21,Cairo,25/12/2025 21:00,Economy,75,Yes,NNN00000000
22,Cairo,31/12/2025 08:00,Economy,75,Yes,NNN00000000
23,Cairo,14/01/2026 16:00,Compartment,125.5,Yes,NNN00000000
24,Cairo,21/01/2026 05:00,Sleeper,160,Yes,NNN00000000
25,Cairo,21/01/2026 11:00,Deluxe,249.99,Yes,NNN00000000
